panel_num,total_task_time_s,head_x_m,head_y_m,head_z_m,head_x_rotation_deg,head_y_rotation_deg,head_z_rotation_deg,hand_x_m,hand_y_m,hand_z_m,hand_x_rotation_deg,hand_y_rotation_deg,hand_z_rotation_deg,error,time stamp
0,,0.0,0.23,0.522,0.0,0.0,0.0,0.25,1.33,0.5820000000000001,0.0,0.0,0.0,0,2022-09-06 PM 5:36:38
0,time,0.0297443,1.356572,0.4164171,348.9001,5.583882,356.1435,0.1032077,0.9205556,0.8418437000000001,359.5135,345.4846,335.9958,0,2022-09-06 PM 5:36:39
0,time,0.0297443,1.356572,0.4164171,348.9001,5.583882,356.1435,0.1032077,0.9205556,0.8418437000000001,359.5135,345.4846,335.9958,0,2022-09-06 PM 5:36:39
0,time,0.0297443,1.356572,0.4164171,348.9001,5.583882,356.1435,0.1032077,0.9205556,0.8418437000000001,359.5135,345.4846,335.9958,0,2022-09-06 PM 5:36:39
0,time,0.0300036,1.356349,0.4163135,348.9835,5.705226,356.1052,0.1031199,0.9205424999999999,0.8417503,359.562,345.4037,336.1273,0,2022-09-06 PM 5:36:39
0,time,0.030095,1.356282,0.4162001,348.9562,5.735233,356.0996,0.1033291,0.9199394,0.8410139999999999,359.5949,345.4072,336.1303,0,2022-09-06 PM 5:36:39
0,time,0.0295472,1.356731,0.4156063,348.6815,5.677701,356.1951,0.1031909,0.9202209,0.8415448999999999,359.5713,345.3646,336.1297,0,2022-09-06 PM 5:36:39
0,time,0.0295472,1.356731,0.4156063,348.6815,5.677701,356.1951,0.1031909,0.9202209,0.8415448999999999,359.5713,345.3646,336.1297,0,2022-09-06 PM 5:36:39
0,time,0.0291698,1.356738,0.4154176,348.6778,5.596156,356.2759,0.1028589,0.9197964,0.8415892,359.464,345.3935,336.1324,0,2022-09-06 PM 5:36:39
0,time,0.02636,1.355221,0.4143153,349.8343,4.635789,356.7757,0.0993304,0.9371212,0.8392310000000001,354.2141,343.7975,336.6873,0,2022-09-06 PM 5:36:40
0,time,0.0217568,1.352416,0.4151843,351.678,3.294168,357.7116,0.0779523,1.003453,0.8211162999999999,339.7994,333.1662,339.9189,0,2022-09-06 PM 5:36:40
0,time,0.0167826,1.350243,0.4171706,353.2467,1.958595,358.6047,0.066666,1.105499,0.8043654,322.1,332.6151,344.0437,0,2022-09-06 PM 5:36:40
0,time,0.0122863,1.347143,0.4180797,355.1349,1.481972,359.3491,0.0599443,1.1975040000000001,0.7927016,309.0363,331.2482,346.5362,0,2022-09-06 PM 5:36:40
0,time,0.0085338,1.346112,0.4186103,356.0059,1.798025,0.344553,0.0543544,1.254729,0.8081138000000001,305.0921,336.3027,343.0569,0,2022-09-06 PM 5:36:40
0,time,0.0046307,1.346148,0.4188865,356.1484,1.763747,0.5975366,0.0470141,1.283287,0.8409983000000001,305.5186,340.8299,343.2207,0,2022-09-06 PM 5:36:40
0,time,0.0011107,1.3466,0.4192306,355.9702,1.606705,0.8861898,0.0389055,1.2996690000000002,0.8643291,306.3436,343.3785,340.3864,0,2022-09-06 PM 5:36:40
0,time,-0.0016108,1.3456,0.4182904,356.3932,1.746083,0.9343823,0.0275799,1.312367,0.8758062,305.6651,342.5221,342.181,0,2022-09-06 PM 5:36:40
0,time,-0.0043725,1.34595,0.4162899,356.1154,1.318946,1.114961,0.0206293,1.322594,0.8844767,306.211,344.2415,340.5255,0,2022-09-06 PM 5:36:40
0,time,-0.0063852,1.348692,0.414074,354.5182,0.9086694,1.142999,0.0154638,1.3290980000000001,0.889769,307.3793,343.4876,341.7738,0,2022-09-06 PM 5:36:40
0,time,-0.0069766,1.351448,0.4113622,352.8036,1.05193,1.118508,0.0123625,1.333924,0.8975983000000001,308.6727,343.8345,342.5877,0,2022-09-06 PM 5:36:41
0,time,-0.0071301,1.353247,0.408875,351.6956,1.016553,1.100102,0.0091014,1.3361500000000002,0.9024836,309.6232,343.2216,343.5594,0,2022-09-06 PM 5:36:41
0,time,-0.0069454,1.353842,0.4072484,351.272,0.8882587,0.9731105,0.0060114,1.334578,0.9055808000000001,310.6431,343.0616,343.6987,0,2022-09-06 PM 5:36:41
